topic_number,title,hook,video_prompt,on_screen_bullets,image_url,hashtags,caption
1,The Enlightenment,Reason changed the world forever.,Create a 30-second history short about The Enlightenment. Hook: An intellectual movement that reshaped politics and science. Cover: Voltaire Locke and Rousseau challenged kings and churches. The Encyclopedie cataloged human knowledge. Reason over superstition. Inspired American and French Revolutions. Free speech tolerance and rights. Still shapes modern democracy.,Voltaire Locke & Rousseau challenged kings | Encyclopedie cataloged all knowledge | Reason over superstition | Inspired revolutions worldwide | Free speech. Tolerance. Rights.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/The_School_of_Athens_by_Raphael.jpg/2560px-The_School_of_Athens_by_Raphael.jpg,#HistoryTok #Enlightenment #Philosophy #DidYouKnow,The Age of Reason changed everything. Voltaire. Locke. Rousseau. They didn't just think — they rewrote the rules. #HistoryTok #Enlightenment #Philosophy #DidYouKnow
2,American Revolution,1776: 13 colonies said NO to a king.,Create a 30-second history short about the American Revolution. Cover: Boston Tea Party 342 chests dumped. Declaration of Independence July 4 1776. Washington's army at Valley Forge. France's alliance turned the tide. Treaty of Paris 1783. First modern republic built on Enlightenment ideals.,Boston Tea Party — 342 chests dumped | Declaration signed July 4 1776 | Valley Forge nearly broke the army | France's alliance turned the tide | America was born 1783,https://upload.wikimedia.org/wikipedia/commons/9/95/Washington_crossing_the_Delaware_by_Emanuel_Leutze%2C_MMA-NYC%2C_1851.jpg,#AmericanRevolution #USHistory #HistoryFacts #4thOfJuly,13 colonies. One rebellion. A new republic. The American Revolution changed the world. #AmericanRevolution #USHistory #HistoryFacts #4thOfJuly
3,French Revolution,They stormed a prison and changed EVERYTHING.,Create a 30-second history short about the French Revolution. Cover: Bastille stormed July 14 1789. King Louis XVI executed by guillotine. Reign of Terror thousands dead. Women marched on Versailles. Feudal privileges abolished. Liberté Egalité Fraternité.,Bastille — July 14 1789 | King Louis XVI guillotined | Reign of Terror | Women marched on Versailles | Liberté Egalité Fraternité,https://upload.wikimedia.org/wikipedia/commons/4/4e/Prise_de_la_Bastille.jpg,#FrenchRevolution #HistoryTok #BastilleDay #WorldHistory,They stormed the Bastille. The king lost his head. France was never the same. #FrenchRevolution #HistoryTok #BastilleDay #WorldHistory
4,Napoleon's Rise and Fall,5 foot 6 man conquered EUROPE.,Create a 30-second history short about Napoleon. Cover: Rose from artillery officer to Emperor. Victories at Austerlitz and Jena. Napoleonic Code still shapes law. Moscow 1812 army froze. Exiled to Elba then escaped. Defeated at Waterloo 1815. Redrew Europe's map.,Austerlitz and Jena — unstoppable | Napoleonic Code still shapes law | Moscow 1812 — army froze | Escaped Elba | Waterloo ended it all,https://upload.wikimedia.org/wikipedia/commons/1/1e/Napoleon_Austerlitz.jpg,#Napoleon #MilitaryHistory #Waterloo #HistoryTok,One man. One empire. One legendary fall. Napoleon changed Europe forever. #Napoleon #MilitaryHistory #Waterloo #HistoryTok
5,Haitian Revolution,Enslaved people defeated an EMPIRE.,Create a 30-second history short about the Haitian Revolution. Cover: Only successful large-scale slave revolt. Toussaint Louverture led the fight. Independence January 1 1804. First Black republic. France demanded crippling reparations. Terrified every slaveholding nation.,Only successful slave revolt in history | Toussaint Louverture led the fight | Independence Jan 1 1804 | First Black republic | Terrified the world,https://upload.wikimedia.org/wikipedia/commons/8/89/Battle_for_Palm_Tree_Hill.jpg,#HaitianRevolution #BlackHistory #HiddenHistory #HistoryTok,They beat an empire. The revolution history tried to erase. #HaitianRevolution #BlackHistory #HiddenHistory #HistoryTok
6,Industrial Revolution,Steam power changed EVERYTHING in 50 years.,Create a 30-second history short about the Industrial Revolution. Cover: Began in Britain mid-1700s. James Watt steam engine 1769. Cities exploded overnight. Child labor was normal. Luddites smashed machines. Railroads weeks to hours. Created capitalism and massive inequality.,Watt's steam engine 1769 | Cities exploded overnight | Child labor was the norm | Luddites smashed machines | Railroads changed travel forever,https://upload.wikimedia.org/wikipedia/commons/4/4d/Ironbridge_6.jpg,#IndustrialRevolution #SteamPunk #HistoryFacts #BritishHistory,Factories. Steam. Cities overnight. The world was rebuilt in one generation. #IndustrialRevolution #SteamPunk #HistoryFacts #BritishHistory
7,Lewis and Clark Expedition,8000 miles. No GPS. No roads.,Create a 30-second history short about Lewis and Clark. Cover: 1804-1806 St Louis to Pacific and back. Sacagawea guide and hero. 300+ new species documented. Met 50+ Native nations. Only one death on the trip. Mapped the American West.,St Louis to Pacific and back | Sacagawea saved the expedition | 300+ species documented | 50+ Native nations met | Only 1 death,https://upload.wikimedia.org/wikipedia/commons/6/6f/Lewis_and_Clark_Expedition_map.jpg,#LewisAndClark #AmericanHistory #Exploration #HistoryTok,8000 miles. No GPS. One legendary expedition. #LewisAndClark #AmericanHistory #Exploration #HistoryTok
8,Abolitionist Movement,Am I not a man and a brother?,Create a 30-second history short about the abolitionist movement. Cover: Global fight to end slavery. Britain banned slave trade 1807. Frederick Douglass escaped and became legend. Harriet Tubman 70+ to freedom. Emancipation Proclamation 1863. Enslaved people resisted every day.,Britain banned slave trade 1807 | Frederick Douglass — legend | Harriet Tubman — 70+ to freedom | Emancipation Proclamation 1863 | Freedom was fought for daily,https://upload.wikimedia.org/wikipedia/commons/7/7f/Am_I_Not_A_Man_And_A_Brother.jpg,#Abolition #BlackHistory #FrederickDouglass #HistoryMatters,Freedom wasn't given. It was taken. The abolitionist fight. #Abolition #BlackHistory #FrederickDouglass #HistoryMatters
9,California Gold Rush,One discovery. 300000 people RAN west.,Create a 30-second history short about the California Gold Rush. Cover: Sutter's Mill January 1848. San Francisco 200 to 36000 in years. Most miners made nothing. Merchants got rich. Mass immigration transformed population. Rivers destroyed by mining.,Sutter's Mill — Jan 1848 | SF: 200 to 36000 people | Most miners made NOTHING | Merchants got rich | Rivers destroyed,https://upload.wikimedia.org/wikipedia/commons/5/5c/Sutters_Mill.jpg,#GoldRush #CaliforniaHistory #WildWest #HistoryTok,One discovery. 300000 people. A nation reshaped. #GoldRush #CaliforniaHistory #WildWest #HistoryTok
10,Darwin and Evolution,One book destroyed how we see LIFE.,Create a 30-second history short about Darwin and evolution. Cover: On the Origin of Species 1859. Galapagos finches proved natural selection. 5 years on HMS Beagle. Waited 20 years to publish. Foundation of modern biology. Science vs religion debate continues.,Origin of Species — 1859 | Galapagos finches proved it | 5 years on HMS Beagle | Waited 20 years to publish | Changed biology forever,https://upload.wikimedia.org/wikipedia/commons/2/2e/Charles_Darwin_photograph_1880.jpg,#CharlesDarwin #Evolution #ScienceHistory #DidYouKnow,One book. One theory. Life redefined. Darwin changed everything. #CharlesDarwin #Evolution #ScienceHistory #DidYouKnow
11,American Civil War,Brother vs brother. 620000 DEAD.,Create a 30-second history short about the American Civil War. Cover: Bloodiest war in US history at the time. Antietam deadliest single day. Gettysburg Address 1863. Emancipation Proclamation. Grant's Vicksburg split Confederacy. Lee surrendered April 9 1865.,620000+ dead | Antietam — deadliest day | Gettysburg Address 1863 | Emancipation Proclamation | Lee surrendered 1865,https://upload.wikimedia.org/wikipedia/commons/7/7b/Battle_of_Antietam2.jpg,#CivilWar #USHistory #AbrahamLincoln #HistoryTok,Brother vs brother. 620000 dead. A nation torn apart. #CivilWar #USHistory #AbrahamLincoln #HistoryTok
12,Transcontinental Railroad,Two railroads. One golden spike.,Create a 30-second history short about the Transcontinental Railroad. Cover: Completed May 10 1869 Utah. 20000+ Chinese laborers built west half. Coast to coast months to 7 days. Government gave 130 million acres. Native tribes displaced. Golden spike at Promontory Summit.,Completed May 10 1869 | 20000+ Chinese laborers | Months to 7 days coast to coast | 130 million acres given away | Golden spike driven,https://upload.wikimedia.org/wikipedia/commons/2/2e/Golden_spike.jpg,#TranscontinentalRailroad #AmericanHistory #RailroadHistory #HistoryFacts,Two railroads. One spike. America connected. #TranscontinentalRailroad #AmericanHistory #RailroadHistory #HistoryFacts
13,Meiji Restoration,Japan feudal to world power in 40 YEARS.,Create a 30-second history short about the Meiji Restoration. Cover: Ended 250 years of shogunate. Emperor Meiji restored 1868. Rich country strong army. Samurai abolished Western dress adopted. Defeated China 1895 and Russia 1905. Fastest national transformation ever.,250 years of shogunate — ended | Emperor Meiji restored 1868 | Samurai abolished | Beat China AND Russia | 40-year transformation,https://upload.wikimedia.org/wikipedia/commons/2/2e/Emperor_Meiji_in_army_uniform.jpg,#MeijiRestoration #JapaneseHistory #Samurai #HistoryTok,Feudal to world power in 40 years. Japan's impossible leap. #MeijiRestoration #JapaneseHistory #Samurai #HistoryTok
14,Jack the Ripper,5 murders. 0 arrests. Still UNSOLVED.,Create a 30-second history short about Jack the Ripper. Cover: 1888 London East End. Letters signed Jack the Ripper. All victims poor working women. No DNA no forensics. Media frenzy global legend. Exposed brutal Victorian poverty.,1888 — East End London | 5 murders 0 arrests | Letters signed Jack the Ripper | No DNA. No forensics. | Still unsolved,https://upload.wikimedia.org/wikipedia/commons/8/8e/Whitechapel_High_Street_1880s.jpg,#JackTheRipper #TrueCrime #VictorianLondon #UnsolvedMystery,5 murders. 0 arrests. 130+ years. Who was Jack? #JackTheRipper #TrueCrime #VictorianLondon #UnsolvedMystery
15,Wright Brothers First Flight,12 seconds. Changed FOREVER.,Create a 30-second history short about the Wright Brothers. Cover: Bicycle shop owners taught themselves to fly. December 17 1903 Kitty Hawk. 120 feet 12 seconds. Wind tunnel beat rivals. 66 years later humans on Moon. Every plane uses 3-axis control.,Dec 17 1903 — Kitty Hawk | 120 feet. 12 seconds. | Bicycle shop to aviation | 66 years later — Moon landing | Every plane uses their design,https://upload.wikimedia.org/wikipedia/commons/8/86/First_flight2.jpg,#WrightBrothers #AviationHistory #FirstFlight #HistoryTok,12 seconds that changed humanity forever. The first flight. #WrightBrothers #AviationHistory #FirstFlight #HistoryTok
16,Sinking of the Titanic,Unsinkable. Sank in 3 HOURS.,Create a 30-second history short about the Titanic. Cover: Hit iceberg April 14 1912. 1500+ died of 2240. Lifeboats for half. First class survived third class didn't. Band played as it sank. Warnings ignored too fast.,April 14 1912 | 1500+ died | Lifeboats for HALF the people | Band played as it sank | Warnings ignored,https://upload.wikimedia.org/wikipedia/commons/6/6d/RMS_Titanic_3.jpg,#Titanic #Shipwreck #1912 #HistoryTok,Unsinkable. Sank in 3 hours. Hubris has a price. #Titanic #Shipwreck #1912 #HistoryTok
17,World War I,One assassination. 20 MILLION dead.,Create a 30-second history short about World War I. Cover: Franz Ferdinand shot 1914. Trench warfare hell on earth. Poison gas machine guns tanks. US entered 1917. Russian Revolution pulled Russia out. Armistice November 11 1918.,Franz Ferdinand shot — 1914 | Trench warfare = hell | Poison gas. Machine guns. | 20 million dead | Armistice Nov 11 1918,https://upload.wikimedia.org/wikipedia/commons/7/7e/World_War_I_Trench_Warfare.jpg,#WorldWar1 #WW1 #TrenchWarfare #MilitaryHistory,One shot. 20 million dead. The war that ended an era. #WorldWar1 #WW1 #TrenchWarfare #MilitaryHistory
18,Russian Revolution,Two revolutions. One year. Empire gone.,Create a 30-second history short about the Russian Revolution. Cover: Tsar executed with family. Lenin Peace Land Bread. First communist state USSR 1922. Civil war killed millions more. Lenin died 1924 Stalin rose. Inspired communism worldwide.,Tsar executed with his family | Lenin: Peace Land Bread | USSR born 1922 | Civil war killed millions | Divided the world 70 years,https://upload.wikimedia.org/wikipedia/commons/1/1e/Bolshevik_Revolution.jpg,#RussianRevolution #SovietUnion #Lenin #HistoryTok,Two revolutions. One year. An empire erased. #RussianRevolution #SovietUnion #Lenin #HistoryTok
19,Roaring Twenties,Jazz. Flappers. Then it all CRASHED.,Create a 30-second history short about the Roaring Twenties. Cover: Women got vote 1920. Prohibition speakeasies boomed. Louis Armstrong defined jazz. Flappers broke social rules. Art Deco transformed cities. Stock market crashed October 1929.,Women got the vote — 1920 | Prohibition = speakeasies | Louis Armstrong & jazz | Flappers broke every rule | Crashed Oct 1929,https://upload.wikimedia.org/wikipedia/commons/4/4e/Charleston_dance.jpg,#RoaringTwenties #JazzAge #Flapper #1920s,Jazz. Flappers. Speakeasies. Then everything collapsed. #RoaringTwenties #JazzAge #Flapper #1920s
20,Discovery of Penicillin,Mold in a dish saved BILLIONS.,Create a 30-second history short about penicillin. Cover: Alexander Fleming 1928 accident. Killed bacteria instantly. Called it mold juice. Mass-produced for WWII. Launched antibiotic era. Overuse created superbugs today.,Fleming — 1928 accident | Killed bacteria instantly | Mass-produced for WWII | Launched antibiotic era | Superbugs today,https://upload.wikimedia.org/wikipedia/commons/b/bf/Alexander_Fleming_in_his_lab.jpg,#Penicillin #MedicalHistory #ScienceFacts #HistoryTok,Mold in a petri dish. Billions saved. The greatest accident in science. #Penicillin #MedicalHistory #ScienceFacts #HistoryTok
21,Great Depression,One crash. A decade of HELL.,Create a 30-second history short about the Great Depression. Cover: Black Tuesday October 29 1929. 25% unemployment US. Hoovervilles and bread lines. Dust Bowl destroyed farms. FDR New Deal Social Security. Only WWII spending ended it.,Black Tuesday — Oct 29 1929 | 25% unemployment | Hoovervilles everywhere | Dust Bowl destroyed farms | WWII ended it,https://upload.wikimedia.org/wikipedia/commons/5/54/Lange-MigrantMother02.jpg,#GreatDepression #1930s #AmericanHistory #HistoryTok,One crash. A decade of hell. Could it happen again? #GreatDepression #1930s #AmericanHistory #HistoryTok
22,World War II,70-85 MILLION dead. Deadliest war EVER.,Create a 30-second history short about World War II. Cover: Germany invaded Poland 1939. Holocaust 6 million Jews. Pearl Harbor brought US 1941. D-Day largest invasion. Atomic bombs Hiroshima Nagasaki. Japan surrendered September 2 1945.,70-85 million dead | Holocaust — 6 million Jews | Pearl Harbor 1941 | D-Day — largest invasion | Japan surrendered 1945,https://upload.wikimedia.org/wikipedia/commons/a/a5/Normandy_Invasion%2C_June_1944.jpg,#WorldWar2 #WW2 #DDay #HistoryTok,The deadliest war in human history. Never forget. #WorldWar2 #WW2 #DDay #HistoryTok
23,D-Day,156000 troops. One day. The longest day.,Create a 30-second history short about D-Day. Cover: June 6 1944 Normandy. 5 beaches Utah Omaha Gold Juno Sword. Omaha bloodiest landing. Paratroopers night before. Operation Fortitude fooled Hitler. Opened Western Front average age 26.,June 6 1944 — Normandy | 5 beaches. 156000 troops. | Omaha = bloodiest | Fooled Hitler | Average age: 26,https://upload.wikimedia.org/wikipedia/commons/d/d3/Normandy_Invasion%2C_June_1944.jpg,#DDay #Normandy #WW2 #MilitaryHistory,156000 troops. One day. The longest day. #DDay #Normandy #WW2 #MilitaryHistory
24,The Holocaust,6 million Jews. Systematically murdered.,Create a 30-second history short about the Holocaust. Cover: Death camps Auschwitz Treblinka Sobibor. Final Solution Wannsee 1942. Resistance in ghettos and camps. Allies liberated 1945. Nuremberg Trials. Never again global promise.,6 million Jews murdered | Death camps: Auschwitz | Final Solution — Wannsee 1942 | Resistance in ghettos | Never again,https://upload.wikimedia.org/wikipedia/commons/e/e3/Auschwitz_I_entrance.jpg,#Holocaust #NeverForget #WorldWar2 #HistoryMatters,6 million lives. Never forget. Never again. #Holocaust #NeverForget #WorldWar2 #HistoryMatters
25,Indian Independence,Nonviolence defeated the British Empire.,Create a 30-second history short about Indian independence. Cover: Gandhi peaceful resistance. Independence August 15 1947. Partition India and Pakistan. 10-20 million displaced. 1-2 million died. World's largest democracy born.,Gandhi — peaceful resistance | Independence Aug 15 1947 | Partition: India + Pakistan | 10-20 million displaced | Largest democracy born,https://upload.wikimedia.org/wikipedia/commons/4/4e/Jawaharlal_Nehru_addressing_the_nation.jpg,#IndianIndependence #Partition #Gandhi #SouthAsianHistory,Nonviolence beat an empire. Freedom has a cost. #IndianIndependence #Partition #Gandhi #SouthAsianHistory
26,Cold War and Space Race,Two superpowers. 60000 nukes. Zero direct war.,Create a 30-second history short about Cold War and Space Race. Cover: Sputnik 1957 shocked world. Gagarin first in space. Moon landing July 20 1969. Cuban Missile Crisis 1962. Proxy wars Vietnam Afghanistan. Gave us GPS satellites computing.,Sputnik — 1957 | Gagarin — first in space | Moon landing — July 1969 | Cuban Missile Crisis 1962 | Gave us GPS & satellites,https://upload.wikimedia.org/wikipedia/commons/9/98/AldrinApollo11Original.jpg,#ColdWar #SpaceRace #MoonLanding #HistoryTok,They raced to the Moon. We got the internet. #ColdWar #SpaceRace #MoonLanding #HistoryTok
27,Civil Rights Movement,They said sit down. She said NO.,Create a 30-second history short about the Civil Rights Movement. Cover: Rosa Parks Montgomery 1955. MLK I Have a Dream 1963. Brown v Board ended segregation. Sit-ins Freedom Riders. Civil Rights Act 1964. Voting Rights Act 1965.,Rosa Parks — 1955 | MLK: I Have a Dream | Brown v Board | Civil Rights Act — 1964 | Voting Rights Act — 1965,https://upload.wikimedia.org/wikipedia/commons/9/9a/March_on_washington_August_28%2C_1963.jpg,#CivilRights #MLK #BlackHistory #HistoryMatters,They said sit down. She said no. The fight continues. #CivilRights #MLK #BlackHistory #HistoryMatters
28,Fall of the Berlin Wall,A wall divided a city for 28 YEARS.,Create a 30-second history short about the Berlin Wall. Cover: Built 1961 stop East Germans fleeing. 140+ died crossing. Reagan tear down this wall. Mass protests 1989. November 9 1989 gates opened. People chipped it with hammers.,Built 1961 | 140+ died trying to cross | Reagan: Tear down this wall | Nov 9 1989 — gates opened | Hammers not bullets,https://upload.wikimedia.org/wikipedia/commons/5/5d/Berlin_wall_1989.jpg,#BerlinWall #ColdWar #1989 #HistoryTok,Walls don't last forever. Nov 9 1989 changed everything. #BerlinWall #ColdWar #1989 #HistoryTok
29,Invention of the Internet,First message: LO. System crashed.,Create a 30-second history short about the internet. Cover: ARPANET 1969 US military. First message LO crashed. Email invented 1971. World Wide Web 1989 CERN. Dot-com boom trillion dollar companies. 5 billion people online today.,ARPANET — 1969 | First message: LO | World Wide Web — 1989 | Dot-com boom | 5 billion people online,https://upload.wikimedia.org/wikipedia/commons/4/4e/Arpanet_1977.png,#InternetHistory #TechHistory #WorldWideWeb #DidYouKnow,First message: LO. Now 5 billion online. The internet changed everything. #InternetHistory #TechHistory #WorldWideWeb #DidYouKnow
30,End of Apartheid,27 years in prison. Then he became PRESIDENT.,Create a 30-second history short about the end of apartheid. Cover: Legal racial segregation 1948-1994. Mandela 27 years imprisoned. Global boycotts crushed regime. First free elections April 1994. Reconciliation over revenge. Truth and Reconciliation Commission.,Apartheid 1948-1994 | Mandela — 27 years in prison | First free elections 1994 | Reconciliation over revenge | Peaceful revolution IS possible,https://upload.wikimedia.org/wikipedia/commons/0/0d/Nelson_Mandela_Voting_1994.jpg,#NelsonMandela #Apartheid #SouthAfrica #HistoryTok,27 years in prison. Then president. Peaceful revolution is possible. #NelsonMandela #Apartheid #SouthAfrica #HistoryTok
31,Building the Great Pyramids,2.3 million blocks. No cranes.,"Create a 30-second vertical history short about Building the Great Pyramids. Hook: 2.3 million blocks. No cranes. Cover: Built circa 2560 BCE for Pharaoh Khufu. Each block weighed roughly 2.5 tons. Workforce likely paid laborers not slaves. Aligned to cardinal points with stunning precision. Still among the largest structures ever built. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Built circa 2560 BCE for Pharaoh Khufu | Each block weighed roughly 2.5 tons | Workforce likely paid laborers not slaves | Aligned to cardinal points with stunning precision | Still among the largest structures ever built,https://upload.wikimedia.org/wikipedia/commons/e/e3/Kheops-Pyramid.jpg,#AncientEgypt #Pyramids #HistoryTok #DidYouKnow,No cranes. No steel. Just impossible engineering. #AncientEgypt #Pyramids #HistoryTok #DidYouKnow
32,Hammurabi's Code,282 laws. Eye for an EYE.,"Create a 30-second vertical history short about Hammurabi's Code. Hook: 282 laws. Eye for an EYE. Cover: Carved on a 7-foot stone stele circa 1754 BCE. One of the oldest written legal codes. Punishments scaled by social class. Famous principle: eye for an eye. Displayed publicly so no one could claim ignorance. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Carved on a 7-foot stone stele circa 1754 BCE | One of the oldest written legal codes | Punishments scaled by social class | Famous principle: eye for an eye | Displayed publicly so no one could claim ignorance,https://upload.wikimedia.org/wikipedia/commons/0/0e/Code_of_Hammurabi%2C_Louvre.jpg,#Babylon #AncientHistory #Law #HistoryFacts,Before courts. Before lawyers. There was stone. #Babylon #AncientHistory #Law #HistoryFacts
33,Battle of Thermopylae,300 Spartans. One million Persians.,"Create a 30-second vertical history short about Battle of Thermopylae. Hook: 300 Spartans. One million Persians. Cover: Fought August 480 BCE at a narrow mountain pass. King Leonidas led roughly 300 Spartans. Held off Xerxes' massive Persian army for three days. Betrayed when a local showed Persians a secret path. Became the ultimate symbol of heroic last stands. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Fought August 480 BCE at a narrow mountain pass | King Leonidas led roughly 300 Spartans | Held off Xerxes' massive Persian army for three days | Betrayed when a local showed Persians a secret path | Became the ultimate symbol of heroic last stands,https://upload.wikimedia.org/wikipedia/commons/9/9a/Leonidas_at_Thermopylae.jpg,#Sparta #AncientGreece #MilitaryHistory #HistoryTok,300 against an empire. They stayed anyway. #Sparta #AncientGreece #MilitaryHistory #HistoryTok
34,Alexander the Great,Dead at 32. Conquered the WORLD.,"Create a 30-second vertical history short about Alexander the Great. Hook: Dead at 32. Conquered the WORLD. Cover: King of Macedon from 336 to 323 BCE. Never lost a battle in 15 years of campaigning. Created an empire from Greece to India. Founded 20 cities named Alexandria. Died in Babylon cause still debated today. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",King of Macedon from 336 to 323 BCE | Never lost a battle in 15 years of campaigning | Created an empire from Greece to India | Founded 20 cities named Alexandria | Died in Babylon cause still debated today,https://upload.wikimedia.org/wikipedia/commons/4/4a/Alexander_the_Great_mosaic.jpg,#AlexanderTheGreat #AncientHistory #Conquest #HistoryTok,32 years old. Undefeated. An empire forever. #AlexanderTheGreat #AncientHistory #Conquest #HistoryTok
35,Assassination of Julius Caesar,"Et tu, Brute? 23 STABS.","Create a 30-second vertical history short about Assassination of Julius Caesar. Hook: Et tu, Brute? 23 STABS. Cover: Murdered March 15 44 BCE the Ides of March. At least 60 senators plotted against him. Stabbed 23 times in the Senate. Last words debated: Greek or Latin phrase. His death ended the Roman Republic forever. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Murdered March 15 44 BCE the Ides of March | At least 60 senators plotted against him | Stabbed 23 times in the Senate | Last words debated: Greek or Latin phrase | His death ended the Roman Republic forever,https://upload.wikimedia.org/wikipedia/commons/7/7d/Vincenzo_Camuccini_-_La_morte_di_Cesare.jpg,#JuliusCaesar #AncientRome #Assassination #HistoryTok,His friends killed him. Rome was never a republic again. #JuliusCaesar #AncientRome #Assassination #HistoryTok
36,Fall of the Roman Empire,"1,000 years. Then GONE.","Create a 30-second vertical history short about Fall of the Roman Empire. Hook: 1,000 years. Then GONE. Cover: Western Empire fell officially in 476 CE. Barbarian general Odoacer deposed last emperor Romulus. Economic crisis inflation and tax collapse. Massive barbarian migrations overwhelmed borders. Eastern Byzantine Empire survived another millennium. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Western Empire fell officially in 476 CE | Barbarian general Odoacer deposed last emperor Romulus | Economic crisis inflation and tax collapse | Massive barbarian migrations overwhelmed borders | Eastern Byzantine Empire survived another millennium,https://upload.wikimedia.org/wikipedia/commons/e/e0/Justinian555AD.png,#RomanEmpire #FallOfRome #AncientHistory #HistoryFacts,The empire that ruled the world simply stopped. #RomanEmpire #FallOfRome #AncientHistory #HistoryFacts
37,Spartacus Slave Revolt,"70,000 slaves. Rome TREMBLED.","Create a 30-second vertical history short about Spartacus Slave Revolt. Hook: 70,000 slaves. Rome TREMBLED. Cover: Began 73 BCE when gladiators escaped Capua. Spartacus a Thracian gladiator led the rebellion. Army grew to 70,000 escaped slaves. Defeated multiple Roman legions for two years. Crucified 6,000 survivors along Appian Way. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Began 73 BCE when gladiators escaped Capua | Spartacus a Thracian gladiator led the rebellion | Army grew to 70,000 escaped slaves | Defeated multiple Roman legions for two years | Crucified 6,000 survivors along Appian Way",https://upload.wikimedia.org/wikipedia/commons/8/8a/Spartacus_by_Dyce.jpg,#Spartacus #AncientRome #SlaveRevolt #HistoryTok,Property became an army. Rome panicked. #Spartacus #AncientRome #SlaveRevolt #HistoryTok
38,Cleopatra's Egypt,She seduced TWO empires.,"Create a 30-second vertical history short about Cleopatra's Egypt. Hook: She seduced TWO empires. Cover: Last active ruler of Ptolemaic Egypt. Spoke nine languages including Egyptian. Allied with Julius Caesar then Mark Antony. Died by snake bite or poison 30 BCE. Her death ended 3,000 years of pharaonic rule. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Last active ruler of Ptolemaic Egypt | Spoke nine languages including Egyptian | Allied with Julius Caesar then Mark Antony | Died by snake bite or poison 30 BCE | Her death ended 3,000 years of pharaonic rule",https://upload.wikimedia.org/wikipedia/commons/3/3e/Kleopatra-VII.-Altes-Museum-Berlin1.jpg,#Cleopatra #AncientEgypt #Queens #HistoryTok,Not just a beauty. A strategist who played empires. #Cleopatra #AncientEgypt #Queens #HistoryTok
39,Hannibal Crosses the Alps,Elephants. In the MOUNTAINS.,"Create a 30-second vertical history short about Hannibal Crosses the Alps. Hook: Elephants. In the MOUNTAINS. Cover: Crossed Alps in 218 BCE with war elephants. Led Carthage against Rome in Second Punic War. Crushed Romans at Battle of Cannae. Wandered Italy 15 years without taking Rome. Eventually defeated at Battle of Zama. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Crossed Alps in 218 BCE with war elephants | Led Carthage against Rome in Second Punic War | Crushed Romans at Battle of Cannae | Wandered Italy 15 years without taking Rome | Eventually defeated at Battle of Zama,https://upload.wikimedia.org/wikipedia/commons/5/5f/Hannibal_crossing_the_alps.jpg,#Hannibal #Carthage #MilitaryHistory #HistoryTok,Elephants over the Alps. Rome's worst nightmare. #Hannibal #Carthage #MilitaryHistory #HistoryTok
40,The Trojan War,One horse. One city. LEGEND.,"Create a 30-second vertical history short about The Trojan War. Hook: One horse. One city. LEGEND. Cover: Described in Homer's Iliad circa 8th century BCE. Archaeological site of Troy found in modern Turkey. Helen of Sparta sparked the legendary conflict. Greeks used Trojan Horse trick to enter city. Blurred line between myth and history for millennia. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Described in Homer's Iliad circa 8th century BCE | Archaeological site of Troy found in modern Turkey | Helen of Sparta sparked the legendary conflict | Greeks used Trojan Horse trick to enter city | Blurred line between myth and history for millennia,https://upload.wikimedia.org/wikipedia/commons/1/1e/Akhilleus_Patroklos_Antikensammlung_Berlin_F2278.jpg,#TrojanWar #AncientGreece #Mythology #HistoryTok,Was it real? Archaeologists say maybe. #TrojanWar #AncientGreece #Mythology #HistoryTok
41,Death of Socrates,He drank poison for QUESTIONS.,"Create a 30-second vertical history short about Death of Socrates. Hook: He drank poison for QUESTIONS. Cover: Executed 399 BCE for corrupting Athenian youth. Chose hemlock over exile. Taught Plato who taught Aristotle. Never wrote a word himself. His trial defined philosophy forever. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Executed 399 BCE for corrupting Athenian youth | Chose hemlock over exile | Taught Plato who taught Aristotle | Never wrote a word himself | His trial defined philosophy forever,https://upload.wikimedia.org/wikipedia/commons/8/8c/David_-_The_Death_of_Socrates.jpg,#Socrates #Philosophy #AncientGreece #HistoryTok,He chose death over silence. #Socrates #Philosophy #AncientGreece #HistoryTok
